Product Name,Ratings,Price
"POCO M3 (Power Black, 64 GB)",4.3,"₹11,499"
"realme C21 (Cross Black, 64 GB)",4.4,"₹9,499"
"realme C21 (Cross Blue, 32 GB)",4.4,"₹8,499"
"I Kall K 320 (Purple, 64 GB)",3.2,"₹6,499"
"realme C21 (Cross Black, 32 GB)",4.4,"₹8,499"
"realme C21 (Cross Blue, 64 GB)",4.4,"₹9,499"
"REDMI 9i (Nature Green, 64 GB)",4.3,"₹8,499"
I Kall K444,3.4,₹999
"realme C20 (Cool Grey, 32 GB)",4.4,"₹6,999"
"realme C20 (Cool Blue, 32 GB)",4.4,"₹6,999"
"realme Narzo 30 5G (Racing Silver, 128 GB)",4.4,"₹15,999"
I Kall K 18 NEW,3.6,₹999
"REDMI 9 Prime (Mint Green, 64 GB)",4.4,"₹9,999"
"REDMI 9i (Midnight Black, 64 GB)",4.3,"₹8,499"
"realme Narzo 30 5G (Racing Blue, 128 GB)",4.4,"₹15,999"
I Kall K555,3.6,"₹1,199"
"REDMI 9 Prime (Matte Black, 64 GB)",4.4,"₹9,999"
"Infinix Hot 10 Play (Obsidian Black, 32 GB)",4.5,"₹7,999"
"realme Narzo 30 (Racing Silver, 64 GB)",4.4,"₹12,499"
I Kall K44 new mobile,3.7,₹669
"POCO C3 (Matte Black, 32 GB)",4.3,"₹7,999"
"REDMI Note 9 (Shadow Black, 64 GB)",4.3,"₹11,499"
"REDMI 9 Power (Mighty Black, 64 GB)",4.3,"₹10,999"
I Kall k6300 NEW,3.5,"₹1,199"
